Hospital Name,City,District,State,Country,Date,Patients,Beds,Deaths,Cancer,Tuberculosis,Accidents,Pneumonia,Covid
Australia,,,,AS,02-08-2020,439,,,,,,,
Australia,,,,AS,03-08-2020,483,,,,,,,
Australia,,,,AS,04-08-2020,566,,,,,,,
Australia,,,,AS,05-08-2020,600,,,,,,,
Australia,,,,AS,06-08-2020,632,,,,,,,
Australia,,,,AS,07-08-2020,659,,,,,,,
Australia,,,,AS,08-08-2020,658,,,,,,,
Australia,,,,AS,09-08-2020,664,,,,,,,
Australia,,,,AS,10-08-2020,673,,,,,,,
Australia,,,,AS,11-08-2020,686,,,,,,,
Australia,,,,AS,12-08-2020,686,,,,,,,
Australia,,,,AS,13-08-2020,679,,,,,,,
Australia,,,,AS,14-08-2020,681,,,,,,,
Australia,,,,AS,15-08-2020,680,,,,,,,
Australia,,,,AS,16-08-2020,674,,,,,,,
Australia,,,,AS,17-08-2020,682,,,,,,,
Australia,,,,AS,18-08-2020,694,,,,,,,
Australia,,,,AS,19-08-2020,644,,,,,,,
Australia,,,,AS,20-08-2020,647,,,,,,,
Australia,,,,AS,21-08-2020,631,,,,,,,
Australia,,,,AS,22-08-2020,604,,,,,,,
Australia,,,,AS,23-08-2020,659,,,,,,,
Australia,,,,AS,24-08-2020,644,,,,,,,
Australia,,,,AS,25-08-2020,603,,,,,,,
Australia,,,,AS,26-08-2020,558,,,,,,,
Australia,,,,AS,27-08-2020,543,,,,,,,
Australia,,,,AS,28-08-2020,510,,,,,,,
Australia,,,,AS,29-08-2020,501,,,,,,,
Australia,,,,AS,30-08-2020,481,,,,,,,
Australia,,,,AS,31-08-2020,450,,,,,,,
Australia,,,,AS,01-09-2020,432,,,,,,,
Australia,,,,AS,02-09-2020,391,,,,,,,
Australia,,,,AS,03-09-2020,357,,,,,,,
Australia,,,,AS,04-09-2020,326,,,,,,,
Australia,,,,AS,05-09-2020,310,,,,,,,
Australia,,,,AS,06-09-2020,294,,,,,,,
Australia,,,,AS,07-09-2020,263,,,,,,,
Australia,,,,AS,08-09-2020,221,,,,,,,
Australia,,,,AS,09-09-2020,195,,,,,,,
Australia,,,,AS,10-09-2020,162,,,,,,,
Australia,,,,AS,11-09-2020,151,,,,,,,
Australia,,,,AS,12-09-2020,137,,,,,,,
Australia,,,,AS,13-09-2020,141,,,,,,,
Australia,,,,AS,14-09-2020,139,,,,,,,
Australia,,,,AS,15-09-2020,126,,,,,,,
Australia,,,,AS,16-09-2020,117,,,,,,,
Australia,,,,AS,17-09-2020,108,,,,,,,
Australia,,,,AS,18-09-2020,106,,,,,,,
Australia,,,,AS,19-09-2020,109,,,,,,,
Australia,,,,AS,20-09-2020,107,,,,,,,
Australia,,,,AS,21-09-2020,100,,,,,,,
Australia,,,,AS,22-09-2020,89,,,,,,,
Australia,,,,AS,23-09-2020,81,,,,,,,
Australia,,,,AS,24-09-2020,71,,,,,,,
Australia,,,,AS,25-09-2020,68,,,,,,,
Australia,,,,AS,26-09-2020,65,,,,,,,
Australia,,,,AUS,27-09-2020,62,,,,,,,
Australia,,,,AS,28-09-2020,60,,,,,,,
Australia,,,,AS,29-09-2020,55,,,,,,,
Australia,,,,AS,30-09-2020,50,,,,,,,
Australia,,,,AUS,01-10-2020,51,,,,,,,
Australia,,,,AUS,02-10-2020,49,,,,,,,
Australia,,,,AUS,03-10-2020,46,,,,,,,
Australia,,,,AUS,04-10-2020,46,,,,,,,
Australia,,,,AUS,05-10-2020,37,,,,,,,
Australia,,,,AUS,06-10-2020,32,,,,,,,
Australia,,,,AUS,07-10-2020,31,,,,,,,
Australia,,,,AUS,08-10-2020,28,,,,,,,
Australia,,,,AUS,09-10-2020,31,,,,,,,
Australia,,,,AUS,10-10-2020,31,,,,,,,
Australia,,,,AUS,11-10-2020,32,,,,,,,
Australia,,,,AUS,12-10-2020,31,,,,,,,
Australia,,,,AUS,13-10-2020,28,,,,,,,
Australia,,,,AUS,14-10-2020,26,,,,,,,
Australia,,,,AUS,15-10-2020,20,,,,,,,
Australia,,,,AUS,16-10-2020,18,,,,,,,
Australia,,,,AUS,17-10-2020,16,,,,,,,
Australia,,,,AUS,18-10-2020,17,,,,,,,
Australia,,,,AUS,19-10-2020,17,,,,,,,
Australia,,,,AUS,20-10-2020,16,,,,,,,
Australia,,,,AUS,21-10-2020,16,,,,,,,
Australia,,,,AUS,22-10-2020,20,,,,,,,
Australia,,,,AUS,23-10-2020,18,,,,,,,
Australia,,,,AUS,24-10-2020,17,,,,,,,
Australia,,,,AUS,25-10-2020,17,,,,,,,
Australia,,,,AUS,26-10-2020,15,,,,,,,
Australia,,,,AUS,27-10-2020,13,,,,,,,
Australia,,,,AUS,28-10-2020,19,,,,,,,
Australia,,,,AUS,29-10-2020,20,,,,,,,
Australia,,,,AUS,30-10-2020,17,,,,,,,
Australia,,,,AUS,31-10-2020,17,,,,,,,
Australia,,,,AUS,01-11-2020,16,,,,,,,
Australia,,,,AUS,02-11-2020,15,,,,,,,
Australia,,,,AUS,03-11-2020,20,,,,,,,
Australia,,,,AUS,04-11-2020,21,,,,,,,
Australia,,,,AUS,05-11-2020,20,,,,,,,
Australia,,,,AUS,06-11-2020,19,,,,,,,
Australia,,,,AUS,07-11-2020,19,,,,,,,
Australia,,,,AUS,08-11-2020,20,,,,,,,
Australia,,,,AUS,09-11-2020,20,,,,,,,
Australia,,,,AUS,10-11-2020,22,,,,,,,
Australia,,,,AUS,11-11-2020,22,,,,,,,
Australia,,,,AUS,12-11-2020,22,,,,,,,
Australia,,,,AUS,13-11-2020,21,,,,,,,
Australia,,,,AUS,14-11-2020,22,,,,,,,
Australia,,,,AUS,15-11-2020,24,,,,,,,
Australia,,,,AUS,16-11-2020,23,,,,,,,
Australia,,,,AUS,17-11-2020,22,,,,,,,
Australia,,,,AUS,18-11-2020,26,,,,,,,
Australia,,,,AUS,19-11-2020,23,,,,,,,
Australia,,,,AUS,20-11-2020,25,,,,,,,
Australia,,,,AUS,21-11-2020,22,,,,,,,
Australia,,,,AUS,22-11-2020,21,,,,,,,
Australia,,,,AUS,23-11-2020,25,,,,,,,
Australia,,,,AUS,24-11-2020,24,,,,,,,
Australia,,,,AUS,25-11-2020,24,,,,,,,
Australia,,,,AUS,26-11-2020,22,,,,,,,
Australia,,,,AUS,27-11-2020,21,,,,,,,
Australia,,,,AUS,28-11-2020,21,,,,,,,
Australia,,,,AUS,29-11-2020,22,,,,,,,
Australia,,,,AUS,30-11-2020,21,,,,,,,
Australia,,,,AUS,01-12-2020,21,,,,,,,
Australia,,,,AUS,02-12-2020,26,,,,,,,
Australia,,,,AUS,03-12-2020,27,,,,,,,
Australia,,,,AUS,04-12-2020,28,,,,,,,
Australia,,,,AUS,05-12-2020,29,,,,,,,
Australia,,,,AUS,06-12-2020,33,,,,,,,
Australia,,,,AUS,07-12-2020,37,,,,,,,
Australia,,,,AUS,08-12-2020,32,,,,,,,
Australia,,,,AUS,09-12-2020,38,,,,,,,
Australia,,,,AUS,10-12-2020,38,,,,,,,
Australia,,,,AUS,11-12-2020,37,,,,,,,
Australia,,,,AUS,12-12-2020,34,,,,,,,
Australia,,,,AUS,13-12-2020,28,,,,,,,
Australia,,,,AUS,14-12-2020,31,,,,,,,
Australia,,,,AUS,15-12-2020,28,,,,,,,
Australia,,,,AUS,16-12-2020,29,,,,,,,
Australia,,,,AUS,17-12-2020,24,,,,,,,
Australia,,,,AUS,18-12-2020,25,,,,,,,
Australia,,,,AUS,19-12-2020,26,,,,,,,
Australia,,,,AUS,20-12-2020,23,,,,,,,
Australia,,,,AUS,21-12-2020,22,,,,,,,
Australia,,,,AUS,22-12-2020,20,,,,,,,
Australia,,,,AUS,23-12-2020,21,,,,,,,
Australia,,,,AUS,24-12-2020,24,,,,,,,
Australia,,,,AUS,25-12-2020,23,,,,,,,
Australia,,,,AUS,26-12-2020,25,,,,,,,
Australia,,,,AUS,27-12-2020,19,,,,,,,
Australia,,,,AUS,28-12-2020,24,,,,,,,
Australia,,,,AUS,29-12-2020,19,,,,,,,
Australia,,,,AUS,30-12-2020,22,,,,,,,
Australia,,,,AUS,31-12-2020,19,,,,,,,
Australia,,,,AUS,01-01-2021,25,,,,,,,
Australia,,,,AUS,02-01-2021,26,,,,,,,
Australia,,,,AUS,03-01-2021,26,,,,,,,
Australia,,,,AUS,04-01-2021,32,,,,,,,
Australia,,,,AUS,05-01-2021,36,,,,,,,
Australia,,,,AUS,06-01-2021,38,,,,,,,
Australia,,,,AUS,07-01-2021,41,,,,,,,
Australia,,,,AUS,08-01-2021,40,,,,,,,
